dataset,total,exact_correct,exact_acc,category_acc,known_class_acc,open_set_acc,summary_file,error_file
origin_80,80,61,0.7625,0.9,0.8125,0.8625,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_8_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_8_errors.csv
origin_100,100,86,0.86,0.93,0.93,0.93,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_8_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_8_errors.csv
anchor_80,80,63,0.7875,0.9375,0.825,0.85,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_8_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_8_errors.csv
