dataset,total,exact_correct,exact_acc,category_acc,known_class_acc,open_set_acc,summary_file,error_file
origin_80,80,67,0.8375,0.95,0.8875,0.9,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_14_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_14_errors.csv
origin_100,100,89,0.89,0.92,0.96,0.98,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_14_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_14_errors.csv
anchor_80,80,76,0.95,0.9875,0.9625,0.9625,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_14_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_14_errors.csv
