dataset,total,exact_correct,exact_acc,category_acc,known_class_acc,open_set_acc,summary_file,error_file
origin_80,80,64,0.8,0.9,0.85,0.9,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_11_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_11_errors.csv
origin_100,100,91,0.91,0.93,0.98,0.98,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_11_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_11_errors.csv
anchor_80,80,72,0.9,0.9625,0.9125,0.9375,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_11_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_11_errors.csv
