dataset,total,exact_correct,exact_acc,category_acc,known_class_acc,open_set_acc,summary_file,error_file
origin_80,80,65,0.8125,0.8875,0.8625,0.9125,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_1_best_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_1_best_errors.csv
origin_100,100,89,0.89,0.92,0.95,0.95,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_1_best_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_1_best_errors.csv
anchor_80,80,66,0.825,0.9125,0.8375,0.8625,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_1_best_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_1_best_errors.csv
