dataset,total,exact_correct,exact_acc,category_acc,known_class_acc,open_set_acc,summary_file,error_file
origin_80,80,68,0.85,0.95,0.9,0.9125,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_15_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_v17_v2_80\replay_v49_15_errors.csv
origin_100,100,89,0.89,0.92,0.96,0.98,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_15_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_test_100\replay_v49_15_errors.csv
anchor_80,80,75,0.9375,0.9875,0.95,0.95,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_15_summary.csv,D:\project\PythonProjects\nano-graphrag\batch_results_dev_anchor_80\replay_v49_15_errors.csv
